data_src_key,data_src_short_nm,data_src_full_nm,data_src_status,is_referred,is_current,created_date,updated_date,created_by,updated_by
1318000000,contain,or,explain,True,True,2017-04-14 03:00:26.401847,1970-09-28 14:14:42.610328,second,attention
9105000000,clear,trade,choose,False,False,1973-12-04 03:57:15.305553,2019-12-02 05:57:11.899184,site,class
841000000,dog,remember,while,False,True,2021-12-07 15:37:56.590798,2001-07-10 14:08:24.035917,reality,onto
7830000000,allow,we,phone,False,True,1987-01-12 00:41:37.160928,1992-12-29 03:27:00.560025,fill,relationship
9211000000,each,hot,drug,True,False,1994-10-06 07:18:02.423785,1998-10-22 09:46:50.256886,term,their
199000000,while,into,to,False,True,1979-05-13 06:00:20.740673,2011-12-29 12:35:07.671906,parent,section
8840000000,system,house,his,False,False,1998-03-24 20:24:15.745198,2017-02-10 13:24:21.645801,single,culture
7970000000,wife,raise,reason,True,False,2010-02-08 09:35:14.187195,2004-07-16 10:08:46.650757,manage,body
964000000,be,election,light,True,False,2002-03-20 00:34:41.694087,2002-05-06 14:56:54.478656,future,whose
2808000000,development,western,far,False,True,2011-04-01 04:48:40.292469,1985-03-09 15:14:56.970299,all,use
