txn_key,txn_id,store_key,tax_detail_line_num,tax_level_id,business_date,business_date_key,data_src_key,store_operator_key,tax_collected_amt,taxable_sales_amt,created_date,updated_date,created_by,updated_by
84627629936225716037956270892826490361,3353000000,7105000000,5562,6486000000,20233101,7756,2808000000,4572000000,80185843.00,81821182.46,2014-12-05 14:59:37.202808,1976-02-03 13:35:59.995412,house,tend
38181511019077439479167682144972718690,5053000000,6650000000,774,464000000,20215557,5974,9105000000,5818000000,11370886.63,15561010.28,1988-10-31 18:36:05.484085,1973-02-03 05:21:57.322165,woman,war
24458489012614612347706809549066142406,4215000000,9248000000,7093,1131000000,20244555,4542,7970000000,1522000000,85659540.97,62359692.63,2005-01-31 23:34:56.921655,1983-02-13 08:11:11.635615,world,cost
71725007283168397807083949426103737789,8159000000,2453000000,7910,8094000000,20245881,4620,7970000000,3162000000,25777842.46,39071066.61,1975-10-11 05:45:39.483314,2020-12-01 17:55:09.939245,foreign,southern
23855255415444109123495256635189964292,3927000000,8556000000,7979,7080000000,20247891,6851,1318000000,840000000,51752834.17,68606898.21,1994-01-23 13:42:31.950333,2023-03-21 00:51:12.774015,candidate,who
90879672784864782464831230941187060828,8853000000,1340000000,5426,8288000000,20204635,9827,7830000000,3048000000,74412959.36,39565639.53,2019-10-22 07:02:41.408802,2021-09-01 16:19:32.356817,pay,win
82066590089077693467362050064644585600,6696000000,1270000000,2401,8648000000,20247393,7385,1318000000,4638000000,34455078.65,16103783.36,2010-07-15 15:24:34.825557,2018-11-23 21:16:51.235006,human,military
85207075441089383306126030699707550013,3072000000,8599000000,304,4101000000,20217278,1637,199000000,4994000000,26605131.55,67508780.05,2004-07-01 04:04:51.550105,1998-08-17 11:13:04.631561,who,our
62869640556357224700337033380563348427,8973000000,8599000000,8135,2316000000,20239080,6691,841000000,5061000000,19182407.47,32557403.29,1983-01-07 12:07:26.643243,1972-08-31 03:11:46.353530,nor,simple
11022320390775459382379727755878138527,1872000000,1270000000,1323,1282000000,20234957,4789,199000000,6344000000,46955349.71,10614109.45,2015-05-05 06:20:10.007790,1985-02-22 19:20:47.209274,degree,themselves
