tender_cd_key,tender_cd,tender_nm,is_referred,is_current,data_src_key,created_date,updated_date,created_by,updated_by
9696000000,history,experience,False,False,2205,1980-06-05 23:33:37.688523,1970-03-29 06:24:17.454067,just,indeed
5214000000,center,herself,True,True,3615,2000-05-31 15:34:30.398978,1993-08-20 13:50:20.936390,computer,store
5583000000,knowledge,statement,True,False,3619,1986-05-24 17:32:11.238582,1998-12-22 03:23:34.579372,hope,would
4612000000,consumer,share,False,True,6872,1998-03-10 11:43:07.283783,2003-04-23 19:20:03.651394,produce,various
495000000,man,full,False,False,7150,2011-06-08 17:02:46.672853,2013-07-29 16:38:06.838097,number,force
1013000000,close,see,False,False,5510,1994-01-15 00:04:51.785809,2004-09-30 20:56:32.304113,ability,somebody
8589000000,together,budget,True,False,7948,2010-02-07 18:40:19.131123,2001-05-24 12:02:50.589636,break,line
3406000000,rest,according,True,True,7704,1976-12-02 13:18:22.130383,2021-02-15 04:43:53.468112,plant,stock
5974000000,friend,stock,False,False,8222,2016-01-26 02:53:44.348789,1978-07-10 23:33:33.490568,within,top
3257000000,with,firm,False,True,8767,1972-11-28 12:57:37.933820,2014-12-24 17:33:19.488056,produce,ten
